Frequentie (Hz),Spanning (V),Fase (degrees)
739.997,0.054,0.000
740.003,0.054,0.000
740.004,0.054,0.000
740.007,0.054,0.000
749.994,0.054,0.000
749.997,0.054,0.000
749.998,0.054,0.000
749.998,0.054,0.000
750.000,0.054,0.000
759.967,0.053,0.000
760.000,0.053,0.000
760.000,0.053,0.000
760.000,0.053,0.000
760.004,0.053,0.000
760.005,0.053,0.000
769.996,0.052,0.000
769.999,0.052,0.000
770.000,0.052,0.000
770.003,0.052,0.000
770.006,0.052,0.000
779.999,0.051,0.000
779.999,0.051,0.000
780.000,0.051,0.000
780.002,0.051,0.000
780.002,0.051,0.000
780.003,0.051,0.000
789.997,0.050,0.000
790.000,0.050,0.000
790.001,0.050,0.000
790.007,0.050,0.000
790.008,0.050,0.000
799.993,0.050,0.000
799.997,0.049,0.000
800.000,0.049,0.000
800.000,0.049,0.000
800.003,0.049,0.000
800.009,0.049,0.000
809.992,0.049,0.000
809.995,0.049,0.000
809.996,0.049,0.000
809.996,0.049,0.000
810.000,0.049,0.000
810.010,0.049,0.000
819.997,0.048,0.000
819.999,0.048,0.000
820.001,0.048,0.000
820.001,0.048,0.000
820.002,0.048,0.000
820.002,0.048,0.000
829.996,0.047,0.000
829.997,0.047,0.000
830.002,0.047,0.000
830.003,0.047,0.000
830.004,0.047,0.000
839.992,0.047,0.000
839.997,0.047,0.000
839.998,0.047,0.000
840.000,0.047,0.000
840.005,0.047,0.000
849.991,0.046,0.000
849.994,0.046,0.000
850.003,0.046,0.000
850.004,0.046,0.000
850.008,0.046,0.000
850.009,0.046,0.000
859.991,0.045,0.000
859.994,0.045,0.000
859.998,0.045,0.000
860.003,0.045,0.000
860.008,0.045,0.000
869.991,0.045,0.000
870.000,0.045,0.000
870.001,0.045,0.000
870.006,0.045,0.000
870.018,0.045,0.000
879.997,0.044,0.000
879.999,0.044,0.000
880.000,0.044,0.000
880.002,0.044,0.000
880.002,0.044,0.000
889.992,0.044,0.000
889.993,0.044,0.000
890.002,0.044,0.000
890.004,0.044,0.000
890.011,0.044,0.000
899.998,0.043,0.000
899.999,0.043,0.000
900.003,0.043,0.000
900.003,0.043,0.000
900.016,0.043,0.000
900.016,0.043,0.000
909.996,0.043,0.000
909.997,0.042,0.000
909.997,0.042,0.000
910.004,0.043,0.000
910.008,0.043,0.000
919.995,0.042,0.000
919.997,0.042,0.000
920.000,0.042,0.000
920.007,0.042,0.000
920.007,0.042,0.000
922.615,0.042,0.000
929.996,0.041,0.000
929.997,0.041,0.000
929.997,0.041,0.000
929.998,0.041,0.000
930.001,0.041,0.000
939.991,0.041,0.000
939.997,0.041,0.000
940.007,0.041,0.000
940.007,0.041,0.000
940.010,0.041,0.000
950.000,0.040,0.000
950.003,0.040,0.000
950.006,0.040,0.000
950.010,0.040,0.000
950.016,0.040,0.000
960.001,0.040,0.000
960.001,0.040,0.000
960.001,0.040,0.000
960.005,0.040,0.000
960.005,0.040,0.000
969.992,0.039,0.000
969.996,0.039,0.000
969.998,0.039,0.000
970.005,0.039,0.000
970.009,0.039,0.000
979.995,0.039,0.000
979.997,0.039,0.000
980.000,0.039,0.000
980.003,0.039,0.000
989.990,0.039,0.000
989.996,0.039,0.000
989.998,0.039,0.000
989.999,0.039,0.000
990.006,0.039,0.000
990.007,0.039,0.000
999.987,0.038,0.000
999.989,0.038,0.000
999.990,0.038,0.000
1000.001,0.038,0.000
1000.002,0.038,0.000
1000.003,0.038,0.000
