Frequentie (Hz),Spanning (V),Fase (degrees)
258.006,0.47,7.947
258.006,0.47,7.884
258.007,0.47,7.808
258.007,0.47,7.815
258.007,0.47,7.95
258.007,0.47,7.938
258.007,0.47,7.939
258.007,0.47,7.958
258.007,0.47,7.926
258.007,0.47,7.955
258.007,0.47,7.933
258.008,0.47,7.975
258.008,0.47,7.919
258.008,0.47,7.982
258.008,0.47,7.965
258.008,0.47,7.946
258.008,0.47,7.872
258.008,0.47,7.952
258.008,0.47,7.971
258.008,0.47,7.957
258.009,0.47,7.925
258.009,0.47,7.954
258.009,0.47,7.899
258.009,0.47,7.924
258.009,0.47,7.97
258.009,0.47,7.949
258.009,0.47,7.941
258.009,0.47,7.951
258.009,0.47,7.98
258.009,0.47,7.953
258.009,0.47,7.878
258.009,0.47,7.988
258.009,0.47,7.931
258.01,0.47,7.986
258.01,0.47,7.989
258.01,0.47,7.902
258.01,0.47,7.952
258.01,0.47,7.979
258.01,0.47,7.958
258.01,0.47,7.982
258.01,0.47,7.947
258.01,0.47,7.959
258.01,0.47,7.994
258.01,0.47,7.949
258.01,0.47,7.851
258.011,0.47,7.985
258.011,0.47,7.965
258.011,0.47,8.116
258.011,0.47,7.986
258.011,0.47,7.865
258.011,0.47,7.846
258.011,0.47,8.012
258.011,0.47,7.92
258.011,0.47,8.01
258.011,0.47,7.992
258.011,0.47,7.993
258.011,0.47,7.956
258.011,0.47,7.923
258.011,0.47,7.929
258.011,0.47,7.899
258.011,0.47,8.009
258.011,0.47,7.979
258.011,0.47,7.976
258.011,0.47,8.011
258.012,0.47,7.977
258.012,0.47,7.984
258.012,0.47,7.964
258.012,0.47,7.959
258.012,0.47,7.988
258.012,0.47,8.018
258.012,0.47,7.998
258.012,0.47,7.952
258.012,0.47,7.943
258.012,0.47,7.961
258.012,0.47,8.008
258.012,0.47,7.932
258.012,0.47,7.978
258.012,0.47,8.011
258.012,0.47,7.946
258.012,0.47,7.909
258.012,0.47,7.941
258.012,0.47,7.966
258.012,0.47,8.013
258.012,0.47,7.984
258.012,0.47,8.019
258.012,0.47,7.986
258.012,0.47,7.924
258.012,0.47,7.998
258.012,0.47,7.998
258.012,0.47,8.124
258.012,0.47,7.921
258.012,0.47,8.006
258.012,0.47,8
258.012,0.47,8.012
258.012,0.47,8.002
258.012,0.47,7.977
258.012,0.47,8.001
258.012,0.47,8.127
258.012,0.47,7.955
258.012,0.47,8.015
258.012,0.47,7.871
258.013,0.47,7.971
258.013,0.47,8.019
258.013,0.47,8.002
258.013,0.47,7.893
258.013,0.47,8.011
258.013,0.47,8.011
258.013,0.47,7.987
258.013,0.47,7.89
258.013,0.47,7.973
258.013,0.47,7.993
258.013,0.47,8.016
258.013,0.47,8.033
258.013,0.47,8.116
258.013,0.47,8.006
258.013,0.47,7.984
258.014,0.47,7.907
258.014,0.47,7.978
258.014,0.47,8.013
258.014,0.47,7.938
258.014,0.47,7.903
258.014,0.47,8.024
258.014,0.47,8.032
258.014,0.47,7.992
258.014,0.47,8.031
258.014,0.47,8.021
258.015,0.47,8.037
258.015,0.47,8.012
258.015,0.47,7.965
258.015,0.47,8.021
258.015,0.47,8.036
258.016,0.47,8.027
258.016,0.47,8.049
258.016,0.47,8.007
258.016,0.47,8.023
258.016,0.47,8.014
258.016,0.47,7.983
258.016,0.47,7.952
258.016,0.47,8.047
258.017,0.47,8.046
258.017,0.47,8.047
258.017,0.47,8.014
258.017,0.47,7.972
258.017,0.47,8.042
258.017,0.47,8.054
258.017,0.47,8.043
258.017,0.47,8.034
258.017,0.47,7.989
258.017,0.47,8.052
258.017,0.47,8.035
258.017,0.47,7.982
258.018,0.47,7.953
258.018,0.47,8.001
258.018,0.47,8.055
258.018,0.47,8.035
258.018,0.47,8.034
258.018,0.47,8.056
258.018,0.47,8.06
258.018,0.47,8.056
258.018,0.47,7.932
258.018,0.47,8.047
258.018,0.47,8.009
258.018,0.47,8.025
258.018,0.47,8.018
258.018,0.47,8.034
258.018,0.47,8.026
258.018,0.47,8.181
258.018,0.47,8.007
258.018,0.47,8.038
258.019,0.47,7.982
258.019,0.47,7.985
258.019,0.47,8.002
258.019,0.47,8.073
258.019,0.47,8.056
258.019,0.47,7.998
258.019,0.47,8.064
258.019,0.47,7.961
258.019,0.47,8.031
258.019,0.47,8.057
258.019,0.47,8.074
258.019,0.47,8.056
258.019,0.47,8.016
258.019,0.47,8.046
258.019,0.47,8.054
258.019,0.47,8.011
258.019,0.47,8.033
258.019,0.47,8.001
258.02,0.47,8.016
258.02,0.47,8.057
258.02,0.47,7.977
258.02,0.47,8.011
258.02,0.47,8.046
258.02,0.47,7.969
258.02,0.47,8.012
258.02,0.47,8.057
258.02,0.47,8.004
258.02,0.47,7.98
258.02,0.47,8.023
258.02,0.47,8.071
258.02,0.47,8.062
258.02,0.47,8.039
258.02,0.47,8.05
258.021,0.47,8.075
258.021,0.47,8.043
258.021,0.47,7.988
258.021,0.47,7.967
258.021,0.47,8.061
258.146,0.47,7.562
259.007,0.47,9.193
259.009,0.47,9.199
259.011,0.47,9.213
259.011,0.47,9.218
259.016,0.47,9.259
260.009,0.47,10.29
260.016,0.47,10.367
260.017,0.47,10.349
260.021,0.47,10.407
260.022,0.47,10.395
260.023,0.47,10.404
261.011,0.471,11.375
261.012,0.471,11.384
261.015,0.471,11.414
261.02,0.471,11.45
261.021,0.471,11.459
262.007,0.471,12.465
262.007,0.471,12.42
262.01,0.471,12.433
262.013,0.471,12.433
262.014,0.471,12.469
263.014,0.471,13.485
263.014,0.471,13.494
263.018,0.471,13.518
263.022,0.471,13.55
263.022,0.471,13.551
264.013,0.471,14.496
264.013,0.472,14.498
264.014,0.472,14.526
264.017,0.472,14.531
264.025,0.472,14.589
264.025,0.472,14.587
265.007,0.472,15.469
265.012,0.472,15.507
265.025,0.472,15.592
265.025,0.472,15.576
265.589,0.472,15.13
266.007,0.472,16.45
266.01,0.472,16.471
266.012,0.472,16.487
266.021,0.472,16.542
267.005,0.472,17.44
267.006,0.472,17.46
267.007,0.472,17.451
267.007,0.472,17.458
267.008,0.473,17.466
267.983,0.473,18.271
268.005,0.473,18.383
268.005,0.473,18.378
268.007,0.473,18.4
268.011,0.473,18.435
268.012,0.473,18.432
269.002,0.473,19.315
269.004,0.473,19.315
269.01,0.473,19.37
269.011,0.473,19.37
269.011,0.473,19.382
270.006,0.473,20.263
270.008,0.473,20.263
270.008,0.473,20.263
270.009,0.473,20.266
270.013,0.473,20.303
271.005,0.474,21.141
271.007,0.474,21.169
271.007,0.474,21.153
271.008,0.474,21.146
271.012,0.474,21.215
271.012,0.474,21.203
272.005,0.474,22.035
272.007,0.474,22.028
272.012,0.474,22.084
272.015,0.474,22.107
273.004,0.475,22.889
273.005,0.475,22.885
273.006,0.474,22.894
273.007,0.474,22.905
273.013,0.475,22.967
274.003,0.475,23.733
274.01,0.475,23.79
274.011,0.475,23.788
274.015,0.475,23.828
274.969,0.475,24.421
275.006,0.475,24.588
275.006,0.475,24.588
275.008,0.475,24.596
275.009,0.475,24.611
275.01,0.475,24.609
276.004,0.476,25.394
276.009,0.476,25.426
276.009,0.476,25.431
276.01,0.476,25.388
276.011,0.476,25.447
277.007,0.476,26.225
277.008,0.476,26.209
277.008,0.476,26.212
277.011,0.476,26.262
278.007,0.476,26.998
278.008,0.476,27.005
278.008,0.476,27.008
278.009,0.476,27.016
278.012,0.476,27.032
278.015,0.476,27.057
278.153,0.476,26.638
279.005,0.477,27.768
279.007,0.477,27.776
279.008,0.477,27.791
279.01,0.477,27.788
279.01,0.477,27.796
280.005,0.477,28.515
280.006,0.477,28.534
280.007,0.477,28.523
280.01,0.477,28.549
280.014,0.477,28.562
280.015,0.477,28.576
281.007,0.477,29.278
281.009,0.477,29.284
281.012,0.477,29.306
281.012,0.477,29.3
281.014,0.477,29.306
281.45,0.477,28.817
282.004,0.478,29.981
282.007,0.478,29.992
282.009,0.478,30.009
282.009,0.478,30.001
282.015,0.478,30.055
283.004,0.478,30.692
283.007,0.478,30.704
283.013,0.478,30.74
283.013,0.478,30.753
283.382,0.478,30.237
284.001,0.478,31.365
284.003,0.478,31.381
284.004,0.478,31.383
284.004,0.478,31.395
284.005,0.479,31.391
285.005,0.479,32.074
285.006,0.479,32.082
285.008,0.479,32.099
285.011,0.479,32.119
286.003,0.479,32.73
286.004,0.479,32.739
286.004,0.479,32.74
286.006,0.479,32.762
287.001,0.48,33.397
287.001,0.48,33.382
287.002,0.48,33.388
287.003,0.48,33.39
287.057,0.48,33.116
288.007,0.48,34.059
288.01,0.48,34.075
288.011,0.48,34.069
288.011,0.48,34.087
288.998,0.48,34.634
288.999,0.48,34.642
289.001,0.48,34.668
289.002,0.48,34.66
289.627,0.48,34.56
289.999,0.481,35.258
290,0.481,35.276
290.001,0.481,35.264
290.006,0.481,35.287
290.008,0.481,35.307
290.998,0.481,35.868
290.999,0.481,35.867
291,0.481,35.871
291.007,0.481,35.908
291.007,0.481,35.896
291.997,0.481,36.456
291.997,0.481,36.451
292.001,0.481,36.477
292.001,0.481,36.477
292.006,0.481,36.504
292.994,0.482,37.028
292.999,0.482,37.033
293.003,0.482,37.037
293.004,0.482,37.066
293.993,0.482,37.568
293.996,0.482,37.6
293.997,0.482,37.612
293.997,0.482,37.619
293.997,0.482,37.599
294.994,0.482,38.136
294.994,0.482,38.136
294.995,0.482,38.147
294.999,0.482,38.173
295,0.482,38.178
295.056,0.482,37.74
295.994,0.483,38.687
295.997,0.483,38.685
295.998,0.483,38.714
295.999,0.483,38.698
296,0.483,38.715
296.99,0.483,39.208
296.993,0.483,39.212
296.995,0.483,39.239
296.997,0.483,39.23
296.998,0.483,39.248
297.994,0.483,39.751
297.995,0.483,39.78
297.995,0.483,39.751
297.996,0.483,39.753
298.019,0.483,39.889
298.993,0.484,40.26
298.994,0.484,40.258
298.995,0.484,40.273
298.996,0.483,40.274
298.997,0.483,40.314
299.988,0.484,40.742
299.989,0.484,40.743
299.992,0.484,40.729
299.993,0.484,40.792
299.993,0.484,40.783
299.995,0.484,40.789
300.999,0.484,41.327
